ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
399102.SZ,20140811,1459.992,1440.279,1459.992,1440.279,1438.461,21.531,1.4968,17239951.21,28335914.7058
399102.SZ,20140812,1462.948,1460.95,1465.03,1457.701,1459.992,2.956,0.2025,17256326.31,28757675.6717
399102.SZ,20140813,1454.731,1462.688,1462.688,1438.178,1462.948,-8.217,-0.5617,18046571.73,30312952.993
399102.SZ,20140814,1452.91,1455.0,1467.62,1451.836,1454.731,-1.821,-0.1252,18617046.47,30235214.0809
399102.SZ,20140815,1468.089,1454.453,1468.089,1450.589,1452.91,15.179,1.0447,17949342.96,28453138.5752
399102.SZ,20140818,1502.286,1470.475,1502.368,1470.475,1468.089,34.197,2.3294,22445292.89,38135821.5296
399102.SZ,20140819,1511.336,1507.165,1517.632,1500.811,1502.286,9.05,0.6024,24187900.65,42152771.2958
399102.SZ,20140820,1503.477,1511.279,1512.418,1498.29,1511.336,-7.859,-0.52,19028784.21,33431708.8219
399102.SZ,20140821,1519.61,1505.236,1519.61,1494.607,1503.477,16.133,1.073,19577488.55,35003804.9503
399102.SZ,20140822,1534.588,1521.098,1537.624,1518.799,1519.61,14.978,0.9856,22099973.74,39074167.1036
399102.SZ,20140825,1521.609,1534.498,1535.005,1517.396,1534.588,-12.979,-0.8458,19962446.65,35683693.1279
399102.SZ,20140826,1487.268,1518.872,1520.574,1481.954,1521.609,-34.341,-2.2569,18360054.67,31833664.4017
399102.SZ,20140827,1498.167,1486.703,1503.154,1486.703,1487.268,10.899,0.7328,13789763.58,24509404.7175
399102.SZ,20140828,1483.45,1500.153,1500.92,1477.943,1498.167,-14.717,-0.9823,13699751.09,24695593.7314
399102.SZ,20140829,1503.344,1481.404,1503.344,1481.288,1483.45,19.894,1.3411,11562446.85,21466453.7486
399102.SZ,20140901,1535.452,1506.02,1535.476,1506.02,1503.344,32.108,2.1358,15490858.0,28766845.6129
399102.SZ,20140902,1553.256,1540.596,1553.256,1540.371,1535.452,17.804,1.1595,20826444.6,38989292.242
399102.SZ,20140903,1567.467,1556.698,1569.586,1550.279,1553.256,14.211,0.9149,23968683.53,43823413.8955
399102.SZ,20140904,1585.992,1569.507,1586.312,1564.252,1567.467,18.525,1.1818,24424653.31,46283096.879
399102.SZ,20140905,1584.978,1589.581,1589.581,1575.154,1585.992,-1.014,-0.0639,21209165.55,38922431.3997
399102.SZ,20140909,1593.312,1588.328,1595.09,1574.895,1584.978,8.334,0.5258,21566028.02,39473817.3562
399102.SZ,20140910,1606.977,1590.22,1608.242,1583.613,1593.312,13.665,0.8576,21773264.77,39693217.9449
399102.SZ,20140911,1610.469,1607.953,1630.449,1598.877,1606.977,3.492,0.2173,26218382.3,48113980.2391
399102.SZ,20140912,1623.575,1610.147,1623.575,1605.609,1610.469,13.106,0.8138,20829285.33,37790330.8734
399102.SZ,20140915,1634.572,1624.11,1636.051,1619.877,1623.575,10.997,0.6773,23470990.83,44328916.9522
399102.SZ,20140916,1576.816,1636.229,1636.814,1575.644,1634.572,-57.756,-3.5334,27119821.83,49893613.4325
399102.SZ,20140917,1583.715,1577.236,1584.336,1558.006,1576.816,6.899,0.4375,17503913.08,31575248.3297
399102.SZ,20140918,1597.107,1582.371,1597.624,1578.495,1583.715,13.392,0.8456,15765159.8,28453119.7373
399102.SZ,20140919,1610.499,1598.029,1611.483,1594.543,1597.107,13.392,0.8385,16834430.57,30654993.4069
399102.SZ,20140922,1595.077,1608.465,1608.465,1591.258,1610.499,-15.422,-0.9576,18443515.88,33527092.7916
399102.SZ,20140923,1616.516,1596.957,1616.516,1596.447,1595.077,21.439,1.3441,17264769.35,32133981.0507
399102.SZ,20140924,1638.475,1615.872,1638.475,1613.033,1616.516,21.959,1.3584,20795696.46,37969571.8275
399102.SZ,20140925,1635.476,1642.836,1649.909,1631.154,1638.475,-2.999,-0.183,22699612.53,41689153.0973
